,EDC3_gas_a (yr),CO2 (ppmv),Bag,ztop,Age,Deuterium,Temperature,Depth,CH4_mean,1s,Lab.,Year,Month,Median montly series,0,year,Annual
221,16452.0,202.9,,,,,,,,,,,,,,,
222,16659.0,200.8,,,,,,,,,,,,,,,
223,16870.0,195.2,,,,,,,,,,,,,,,
224,17111.0,193.9,,,,,,,,,,,,,,,
225,17375.0,191.0,,,,,,,,,,,,,,,
226,17565.0,188.5,,,,,,,,,,,,,,,
227,17809.0,188.5,,,,,,,,,,,,,,,
228,17943.0,189.2,,,,,,,,,,,,,,,
229,18285.0,187.0,,,,,,,,,,,,,,,
230,18541.0,188.6,,,,,,,,,,,,,,,
231,18828.0,189.4,,,,,,,,,,,,,,,
232,18868.0,192.3,,,,,,,,,,,,,,,
233,18921.0,188.3,,,,,,,,,,,,,,,
234,19347.0,188.7,,,,,,,,,,,,,,,
235,19509.0,188.8,,,,,,,,,,,,,,,
236,19748.0,190.0,,,,,,,,,,,,,,,
237,19988.0,188.0,,,,,,,,,,,,,,,
238,20168.0,188.2,,,,,,,,,,,,,,,
239,20197.0,195.0,,,,,,,,,,,,,,,
240,20502.0,187.8,,,,,,,,,,,,,,,
241,20748.0,186.9,,,,,,,,,,,,,,,
242,21011.0,186.5,,,,,,,,,,,,,,,
243,21257.0,184.7,,,,,,,,,,,,,,,
244,21507.0,186.1,,,,,,,,,,,,,,,
245,21854.0,185.7,,,,,,,,,,,,,,,
246,22015.0,184.4,,,,,,,,,,,,,,,
247,22827.0,189.2,,,,,,,,,,,,,,,
248,25994.0,191.6,,,,,,,,,,,,,,,
249,29063.0,188.5,,,,,,,,,,,,,,,
250,30020.0,191.7,,,,,,,,,,,,,,,
251,35009.0,205.3,,,,,,,,,,,,,,,
252,37471.0,209.1,,,,,,,,,,,,,,,
253,43500.0,209.1,,,,,,,,,,,,,,,
254,47336.0,189.3,,,,,,,,,,,,,,,
255,48854.0,188.4,,,,,,,,,,,,,,,
256,49690.0,210.1,,,,,,,,,,,,,,,
257,50663.0,215.7,,,,,,,,,,,,,,,
258,52382.0,190.4,,,,,,,,,,,,,,,
259,57088.0,221.7,,,,,,,,,,,,,,,
260,57657.0,210.4,,,,,,,,,,,,,,,
261,62859.0,195.3,,,,,,,,,,,,,,,
262,64939.0,191.4,,,,,,,,,,,,,,,
263,65939.0,194.9,,,,,,,,,,,,,,,
264,71049.0,227.3,,,,,,,,,,,,,,,
265,73227.0,229.1,,,,,,,,,,,,,,,
266,77150.0,217.1,,,,,,,,,,,,,,,
267,78183.0,221.7,,,,,,,,,,,,,,,
268,80614.0,230.9,,,,,,,,,,,,,,,
269,82417.0,241.1,,,,,,,,,,,,,,,
270,83333.0,236.4,,,,,,,,,,,,,,,
271,84016.0,228.0,,,,,,,,,,,,,,,
272,85020.0,214.2,,,,,,,,,,,,,,,
273,86181.0,217.0,,,,,,,,,,,,,,,
274,87917.0,208.0,,,,,,,,,,,,,,,
275,90357.0,224.2,,,,,,,,,,,,,,,
276,91249.0,228.3,,,,,,,,,,,,,,,
277,94353.0,232.0,,,,,,,,,,,,,,,
278,99849.0,225.8,,,,,,,,,,,,,,,
279,100837.0,230.8,,,,,,,,,,,,,,,
280,101749.0,236.9,,,,,,,,,,,,,,,
281,103465.0,228.1,,,,,,,,,,,,,,,
282,104704.0,236.9,,,,,,,,,,,,,,,
283,105636.0,230.6,,,,,,,,,,,,,,,
284,107579.0,238.2,,,,,,,,,,,,,,,
285,108153.0,245.6,,,,,,,,,,,,,,,
286,109804.0,251.2,,,,,,,,,,,,,,,
287,111862.0,256.7,,,,,,,,,,,,,,,
288,113262.0,266.3,,,,,,,,,,,,,,,
289,114096.0,261.4,,,,,,,,,,,,,,,
290,114601.0,274.5,,,,,,,,,,,,,,,
291,115118.0,273.2,,,,,,,,,,,,,,,
292,116501.0,262.5,,,,,,,,,,,,,,,
293,117750.0,267.6,,,,,,,,,,,,,,,
294,118649.0,273.7,,,,,,,,,,,,,,,
295,119672.0,271.9,,,,,,,,,,,,,,,
296,120382.0,265.2,,,,,,,,,,,,,,,
297,121017.0,277.6,,,,,,,,,,,,,,,
298,122344.0,272.1,,,,,,,,,,,,,,,
299,123070.0,276.4,,,,,,,,,,,,,,,
300,124213.0,268.7,,,,,,,,,,,,,,,
301,124257.0,266.6,,,,,,,,,,,,,,,
302,124789.0,266.3,,,,,,,,,,,,,,,
303,125081.0,279.7,,,,,,,,,,,,,,,
304,125262.0,273.0,,,,,,,,,,,,,,,
305,125434.0,277.1,,,,,,,,,,,,,,,
306,126347.0,273.7,,,,,,,,,,,,,,,
307,126598.0,267.1,,,,,,,,,,,,,,,
308,126886.0,262.5,,,,,,,,,,,,,,,
309,127132.0,262.6,,,,,,,,,,,,,,,
310,127622.0,275.3,,,,,,,,,,,,,,,
311,127907.0,275.6,,,,,,,,,,,,,,,
312,128344.0,274.0,,,,,,,,,,,,,,,
313,128372.0,287.1,,,,,,,,,,,,,,,
314,128609.0,286.8,,,,,,,,,,,,,,,
315,128866.0,282.6,,,,,,,,,,,,,,,
316,129146.0,264.1,,,,,,,,,,,,,,,
317,129340.0,263.4,,,,,,,,,,,,,,,
318,129652.0,257.9,,,,,,,,,,,,,,,
319,129736.0,259.0,,,,,,,,,,,,,,,
320,131329.0,245.0,,,,,,,,,,,,,,,
321,131455.0,240.4,,,,,,,,,,,,,,,
322,131728.0,228.9,,,,,,,,,,,,,,,
323,132492.0,223.5,,,,,,,,,,,,,,,
324,133069.0,223.9,,,,,,,,,,,,,,,
325,133105.0,220.3,,,,,,,,,,,,,,,
326,133427.0,210.6,,,,,,,,,,,,,,,
327,134123.0,208.9,,,,,,,,,,,,,,,
328,134287.0,203.7,,,,,,,,,,,,,,,
329,134960.0,204.5,,,,,,,,,,,,,,,
330,135114.0,200.4,,,,,,,,,,,,,,,
331,135207.0,198.0,,,,,,,,,,,,,,,
332,135603.0,198.0,,,,,,,,,,,,,,,
333,135883.0,201.7,,,,,,,,,,,,,,,
334,136011.0,200.7,,,,,,,,,,,,,,,
335,136251.0,202.4,,,,,,,,,,,,,,,
336,136567.0,195.8,,,,,,,,,,,,,,,
337,136655.0,201.1,,,,,,,,,,,,,,,
338,137293.0,194.3,,,,,,,,,,,,,,,
339,137633.0,193.4,,,,,,,,,,,,,,,
340,137982.0,194.2,,,,,,,,,,,,,,,
341,138185.0,190.2,,,,,,,,,,,,,,,
342,139275.0,192.3,,,,,,,,,,,,,,,
343,139617.0,196.5,,,,,,,,,,,,,,,
344,140899.0,195.6,,,,,,,,,,,,,,,
345,140960.0,196.4,,,,,,,,,,,,,,,
346,142058.0,190.4,,,,,,,,,,,,,,,
347,145363.0,196.9,,,,,,,,,,,,,,,
348,148831.0,203.0,,,,,,,,,,,,,,,
349,149803.0,191.9,,,,,,,,,,,,,,,
350,149921.0,188.9,,,,,,,,,,,,,,,
351,151423.0,200.6,,,,,,,,,,,,,,,
352,154480.0,189.0,,,,,,,,,,,,,,,
353,155395.0,185.5,,,,,,,,,,,,,,,
354,155813.0,187.5,,,,,,,,,,,,,,,
355,159562.0,204.3,,,,,,,,,,,,,,,
356,159943.0,196.5,,,,,,,,,,,,,,,
357,161679.0,191.6,,,,,,,,,,,,,,,
358,162228.0,190.1,,,,,,,,,,,,,,,
359,163024.0,186.7,,,,,,,,,,,,,,,
360,163698.0,183.8,,,,,,,,,,,,,,,
361,164439.0,196.6,,,,,,,,,,,,,,,
362,167183.0,197.8,,,,,,,,,,,,,,,
363,169492.0,197.7,,,,,,,,,,,,,,,
364,171351.0,196.0,,,,,,,,,,,,,,,
365,172434.0,190.3,,,,,,,,,,,,,,,
366,173135.0,189.4,,,,,,,,,,,,,,,
367,173394.0,190.1,,,,,,,,,,,,,,,
368,175306.0,207.7,,,,,,,,,,,,,,,
369,177139.0,213.2,,,,,,,,,,,,,,,
370,178179.0,217.7,,,,,,,,,,,,,,,
371,179117.0,198.1,,,,,,,,,,,,,,,
372,180068.0,199.7,,,,,,,,,,,,,,,
373,182046.0,203.4,,,,,,,,,,,,,,,
